id,clave,name,descripcion
__export__.unidadesmedida_H79,H79,French gauge,"A unit of distance used for measuring the diameter of small tubes such as urological instruments and catheters.
Synonym: French, Charrière, Charrière gauge"
__export__.unidadesmedida_AK,AK,fathom,
__export__.unidadesmedida_X1,X1,Gunter's chain,A unit of distance used or formerly used by British surveyors.
__export__.unidadesmedida_INH,INH,inch,
__export__.unidadesmedida_M7,M7,micro-inch,
__export__.unidadesmedida_FOT,FOT,foot,
__export__.unidadesmedida_YRD,YRD,yard,
__export__.unidadesmedida_SMI,SMI,mile (statute mile),
__export__.unidadesmedida_77,77,milli-inch,
__export__.unidadesmedida_B57,B57,light year,A unit of length defining the distance that light travels in a vacuum in one year.
__export__.unidadesmedida_F49,F49,rod [unit of distance],A unit of distance equal to 5.5 yards (16 feet 6 inches).
__export__.unidadesmedida_MAM,MAM,megametre,
__export__.unidadesmedida_K13,K13,foot per degree Fahrenheit,
__export__.unidadesmedida_K17,K17,foot per psi,
__export__.unidadesmedida_K45,K45,inch per degree Fahrenheit,
__export__.unidadesmedida_K46,K46,inch per psi,
__export__.unidadesmedida_L98,L98,yard per degree Fahrenheit,
__export__.unidadesmedida_L99,L99,yard per psi,
__export__.unidadesmedida_M49,M49,chain (based on U.S. survey foot),Unit of the length according the Anglo-American system of units.
__export__.unidadesmedida_M50,M50,furlong,Unit commonly used in Great Britain at rural distances: 1 furlong = 40 rods = 10 chains (UK) = 1/8 mile = 1/10 furlong = 220 yards = 660 foot.
__export__.unidadesmedida_M51,M51,foot (U.S. survey) ,Unit commonly used in the United States for ordnance survey.

__export__.unidadesmedida_M52,M52,mile (based on U.S. survey foot) ,Unit commonly used in the United States for ordnance survey.
__export__.unidadesmedida_M53,M53,metre per pascal,SI base unit metre divided by the derived SI unit pascal.
__export__.unidadesmedida_MTK,MTK,square metre,
__export__.unidadesmedida_KMK,KMK,square kilometre,
__export__.unidadesmedida_H30,H30,square micrometre (square micron),
__export__.unidadesmedida_H59,H59,square metre per newton,
__export__.unidadesmedida_DAA,DAA,decare,
__export__.unidadesmedida_CMK,CMK,square centimetre,
__export__.unidadesmedida_DMK,DMK,square decimetre,
__export__.unidadesmedida_H16,H16,square decametre,Synonym: are
__export__.unidadesmedida_H18,H18,square hectometre,Synonym: hectare
__export__.unidadesmedida_MMK,MMK,square millimetre,
__export__.unidadesmedida_INK,INK,square inch,
__export__.unidadesmedida_FTK,FTK,square foot,
__export__.unidadesmedida_YDK,YDK,square yard,
__export__.unidadesmedida_MIK,MIK,square mile (statute mile),
__export__.unidadesmedida_M48,M48,square mile (based on U.S. survey foot) ,"Unit of the area, which is mainly common in the agriculture and forestry."
__export__.unidadesmedida_ACR,ACR,acre,
__export__.unidadesmedida_M47,M47,circular mil ,"Unit of an area, of which the size is given by a diameter of length of 1 mm (0,001 in) based on the formula: area = p·(diameter/2)²."
__export__.unidadesmedida_MTQ,MTQ,cubic metre,Synonym: metre cubed
__export__.unidadesmedida_MAL,MAL,megalitre,
__export__.unidadesmedida_LTR,LTR,litre,
__export__.unidadesmedida_MMQ,MMQ,cubic millimetre,
__export__.unidadesmedida_CMQ,CMQ,cubic centimetre,
__export__.unidadesmedida_DMQ,DMQ,cubic decimetre,
__export__.unidadesmedida_MLT,MLT,millilitre,
__export__.unidadesmedida_HLT,HLT,hectolitre,
__export__.unidadesmedida_CLT,CLT,centilitre,
__export__.unidadesmedida_DMA,DMA,cubic decametre,
__export__.unidadesmedida_H19,H19,cubic hectometre,
__export__.unidadesmedida_H20,H20,cubic kilometre,
__export__.unidadesmedida_M71,M71,cubic metre per pascal,Power of the SI base unit meter by exponent 3 divided by the derived SI base unit pascal.
__export__.unidadesmedida_DLT,DLT,decilitre,
__export__.unidadesmedida_4G,4G,microlitre,
__export__.unidadesmedida_K6,K6,kilolitre,
__export__.unidadesmedida_A44,A44,decalitre,
__export__.unidadesmedida_G94,G94,cubic centimetre per bar,
__export__.unidadesmedida_G95,G95,litre per bar,
__export__.unidadesmedida_G96,G96,cubic metre per bar,
__export__.unidadesmedida_G97,G97,millilitre per bar,
__export__.unidadesmedida_INQ,INQ,cubic inch,Synonym: inch cubed
__export__.unidadesmedida_FTQ,FTQ,cubic foot,
__export__.unidadesmedida_YDQ,YDQ,cubic yard,
__export__.unidadesmedida_GLI,GLI,gallon (UK),
__export__.unidadesmedida_GLL,GLL,gallon (US),
__export__.unidadesmedida_PTI,PTI,pint (UK),
__export__.unidadesmedida_QTI,QTI,quart (UK),
__export__.unidadesmedida_PTL,PTL,liquid pint (US),
__export__.unidadesmedida_QTL,QTL,liquid quart (US),
__export__.unidadesmedida_PTD,PTD,dry pint (US),
__export__.unidadesmedida_OZI,OZI,fluid ounce (UK),
__export__.unidadesmedida_J57,J57,barrel (UK petroleum),
__export__.unidadesmedida_K21,K21,cubic foot per degree Fahrenheit,
__export__.unidadesmedida_K23,K23,cubic foot per psi,
__export__.unidadesmedida_L43,L43,peck (UK),
__export__.unidadesmedida_L84,L84,ton (UK shipping),
__export__.unidadesmedida_L86,L86,ton (US shipping),
__export__.unidadesmedida_M11,M11,cubic yard per degree Fahrenheit,
__export__.unidadesmedida_M14,M14,cubic yard per psi,
__export__.unidadesmedida_OZA,OZA,fluid ounce (US),
__export__.unidadesmedida_BUI,BUI,bushel (UK),
__export__.unidadesmedida_BUA,BUA,bushel (US),
__export__.unidadesmedida_BLL,BLL,barrel (US),
__export__.unidadesmedida_BLD,BLD,dry barrel (US),
