id,clave,name
__export__.prodserv_10141611,10141611,Soportes para correas
__export__.prodserv_10151500,10151500,Semillas y plántulas vegetales
__export__.prodserv_10151501,10151501,Semillas o plántulas de fríjol
__export__.prodserv_10151502,10151502,Semillas o plántulas de zanahoria
__export__.prodserv_10151503,10151503,Semillas o plántulas de apio
__export__.prodserv_10151504,10151504,Semillas o plántulas de chiles
__export__.prodserv_10151505,10151505,Semillas o plántulas de calabacín
__export__.prodserv_10151506,10151506,Semillas o plántulas de alverja
__export__.prodserv_10151507,10151507,Semillas o plántulas de pepino cohombro
__export__.prodserv_10151508,10151508,Semillas o plántulas de berenjena
__export__.prodserv_10151509,10151509,Semillas o plántulas de endivias
__export__.prodserv_10151510,10151510,Semillas o plántulas de ajo
__export__.prodserv_10151511,10151511,Semillas o plántulas de puerro
__export__.prodserv_10151512,10151512,Semillas o plántulas de lechuga
__export__.prodserv_10151513,10151513,Semillas o plántulas de maíz
__export__.prodserv_10151514,10151514,Semillas o plántulas de melón
__export__.prodserv_10151515,10151515,Semillas o plántulas cebolla
__export__.prodserv_10151516,10151516,Semillas o plántulas de soya
__export__.prodserv_10151517,10151517,Semillas o plántulas de espinaca
__export__.prodserv_10151518,10151518,Semillas o plántulas de tomate
__export__.prodserv_10151519,10151519,Semillas o plántulas de nabo
__export__.prodserv_10151520,10151520,Semillas o plántulas de acelga
__export__.prodserv_10151521,10151521,Semillas o plántulas de pimiento morrón
__export__.prodserv_10151522,10151522,Semillas o plántulas de remolacha
__export__.prodserv_10151523,10151523,Semillas o plántulas de coliflor
__export__.prodserv_10151524,10151524,Semillas o plántulas de perejil
__export__.prodserv_10151525,10151525,Semillas o plántulas de brócoli
__export__.prodserv_10151526,10151526,Semillas o plántulas de repollo
__export__.prodserv_10151527,10151527,Semillas o plántulas de papa
__export__.prodserv_10151528,10151528,Semillas o plántulas de batata
__export__.prodserv_10151529,10151529,Semillas o plántulas de calabaza
__export__.prodserv_10151530,10151530,Semillas o plántulas de rábano
__export__.prodserv_10151531,10151531,Semillas o plántulas de repollitos de bruselas
__export__.prodserv_10151532,10151532,Semillas o plántulas de ahuyama
__export__.prodserv_10151533,10151533,Semillas o plántulas de okra
__export__.prodserv_10151534,10151534,Semillas o plántulas de melón cantalupo
__export__.prodserv_10151535,10151535,Semillas o plántulas de maní
__export__.prodserv_10151536,10151536,Semillas o plántulas de caigua
__export__.prodserv_10151537,10151537,Semillas o plántulas de espárrago
__export__.prodserv_10151538,10151538,Semillas o plántulas de garbanzo
__export__.prodserv_10151539,10151539,Semillas o plántulas de haba
__export__.prodserv_10151600,10151600,Semillas de cereales
__export__.prodserv_10151601,10151601,Semillas de trigo
__export__.prodserv_10151602,10151602,Semillas de canola
__export__.prodserv_10151603,10151603,Semillas de cebada
__export__.prodserv_10151604,10151604,Semillas de mijo
__export__.prodserv_10151605,10151605,Semillas de avena
__export__.prodserv_10151606,10151606,Semillas de ajonjolí
__export__.prodserv_10151607,10151607,Semillas de linaza
__export__.prodserv_10151608,10151608,Semillas de aceite de ricino
__export__.prodserv_10151609,10151609,Semillas de maíz
__export__.prodserv_10151610,10151610,Semillas de centeno
__export__.prodserv_10151611,10151611,Semillas de sorgo
__export__.prodserv_10151612,10151612,Semillas o plántulas de kiwicha
__export__.prodserv_10151613,10151613,Semillas o plántulas de quínoa
__export__.prodserv_10151700,10151700,Semillas y plántulas de hierba y forraje
__export__.prodserv_10151701,10151701,Semillas o plántulas de arroz
__export__.prodserv_10151702,10151702,Semillas o plántulas de trébol
__export__.prodserv_10151703,10151703,Semillas o plántulas de alfalfa
__export__.prodserv_10151704,10151704,Semillas o plántulas de pasto
__export__.prodserv_10151705,10151705,Semillas o plántulas de veza (gachas / guija)
__export__.prodserv_10151706,10151706,Semillas o plántulas de guar
__export__.prodserv_10151800,10151800,Semillas y plántulas de especias
__export__.prodserv_10151801,10151801,Semillas o plántulas de pimienta
__export__.prodserv_10151802,10151802,Semillas o plántulas de vainilla
__export__.prodserv_10151803,10151803,Semillas o plántulas de canela
__export__.prodserv_10151804,10151804,Semillas o plántulas de clavo de olor
__export__.prodserv_10151805,10151805,Semillas o plántulas de cilantro
__export__.prodserv_10151806,10151806,Semillas o plántulas de jengibre
__export__.prodserv_10151807,10151807,Semillas o plántulas de azafrán
__export__.prodserv_10151808,10151808,Semillas o plántulas de tomillo
__export__.prodserv_10151809,10151809,Semillas o plántulas de curry
__export__.prodserv_10151810,10151810,Semillas o plántulas de mostaza
__export__.prodserv_10151811,10151811,Semillas o plántulas de ginseng
__export__.prodserv_10151812,10151812,Semillas o plántulas de champiñones
__export__.prodserv_10151813,10151813,Semillas o plántulas de sacha inchi
__export__.prodserv_10151814,10151814,Semillas o plántulas de achiote
__export__.prodserv_10151815,10151815,Semillas o plántulas de kudzu
__export__.prodserv_10151816,10151816,Semillas o plántulas de albahaca
__export__.prodserv_10151817,10151817,Semillas o plántulas de anís
__export__.prodserv_10151900,10151900,"Semillas, bulbos, plántulas y esquejes de flores"
__export__.prodserv_10151901,10151901,"Semillas, bulbos, plántulas o esquejes de tulipán"
__export__.prodserv_10151902,10151902,"Semillas, plántulas o esquejes de rosa"
__export__.prodserv_10151903,10151903,"Semillas, bulbos, plántulas o esquejes de narciso"
__export__.prodserv_10151904,10151904,Semillas de girasol
__export__.prodserv_10151905,10151905,Bulbos o tallos de jacinto
__export__.prodserv_10151906,10151906,Bulbos de lirio
__export__.prodserv_10151907,10151907,Semillas o plántulas de veza
__export__.prodserv_10152000,10152000,Semillas y esquejes de árboles y arbustos
__export__.prodserv_10152001,10152001,Semillas o esquejes de árboles frutales
__export__.prodserv_10152002,10152002,Semillas o esquejes de coníferas
__export__.prodserv_10152003,10152003,Semillas o esquejes de árboles de frutos secos
__export__.prodserv_10152004,10152004,Plántulas de latifoliados
